date,value
2020/1/6,,161
2020/1/7,,154
2020/1/8,,146
2020/1/9,,148
2020/1/10,2154
2020/1/14,2174
2020/1/15,2167
2020/1/16,2188
2020/1/17,2185
2020/1/20,2177
2020/1/21,2170
2020/1/22,2170
2020/1/23,2124
2020/1/24,2070
2020/1/27,2035
2020/1/28,2025
2020/1/29,2023
2020/1/30,2005
2020/1/31,2005
2020/2/3,,985
2020/2/4,,025
2020/2/5,,045
2020/2/6,,055
2020/2/7,,064
2020/2/10,2029
2020/2/12,2031
2020/2/13,2048
2020/2/14,1962
2020/2/17,1912
2020/2/18,1881
2020/2/19,1866
2020/2/20,1853
2020/2/21,1836
2020/2/25,1780
2020/2/26,1759
2020/2/27,1702
2020/2/28,1618
2020/3/2,,691
2020/3/3,,658
2020/3/4,,661
2020/3/5,,662
2020/3/6,,627
2020/3/9,,554
2020/3/10,1620
2020/3/11,1587
2020/3/12,1527
2020/3/13,1514
2020/3/16,1493
2020/3/17,1611
2020/3/18,1778
2020/3/19,1827
2020/3/23,1759
2020/3/24,1689
2020/3/25,1794
2020/3/26,1677
2020/3/27,1696
2020/3/30,1614
2020/3/31,1602
2020/4/1,,529
2020/4/2,,505
2020/4/3,,415
2020/4/6,,405
2020/4/7,,480
2020/4/8,,599
2020/4/9,,548
2020/4/10,1551
2020/4/13,1511
2020/4/14,1531
2020/4/15,1538
2020/4/16,1532
2020/4/17,1559
2020/4/20,1566
2020/4/21,1572
2020/4/22,1540
2020/4/23,1516
2020/4/24,1520
2020/4/27,1569
2020/4/28,1583
2020/4/30,1602
2020/5/1,,605
2020/5/7,,597
2020/5/8,,700
2020/5/11,1778
2020/5/12,1732
2020/5/13,1735
2020/5/14,1693
2020/5/15,1650
2020/5/18,1681
2020/5/19,1713
2020/5/20,1702
2020/5/21,1709
2020/5/22,1660
2020/5/25,1717
2020/5/26,1769
2020/5/27,1763
2020/5/28,1791
2020/5/29,1747
2020/6/1,,762
2020/6/2,,756
2020/6/3,,762
2020/6/4,,768
2020/6/5,,789
2020/6/8,,826
2020/6/9,,822
2020/6/10,1808
2020/6/11,1771
2020/6/12,1762
2020/6/15,1754
2020/6/16,1799
2020/6/17,1795
2020/6/18,1804
