3197 東証1部 (株)すかいらーくホールディングス（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","2108","2165","2108","2161","2473400","2161"
"2020-01-07","2150","2162","2150","2154","1129900","2154"
"2020-01-08","2144","2152","2120","2146","1327800","2146"
"2020-01-09","2159","2159","2137","2148","1247700","2148"
"2020-01-10","2160","2160","2142","2154","867300","2154"
"2020-01-14","2160","2174","2147","2174","1533900","2174"
"2020-01-15","2164","2179","2157","2167","964700","2167"
"2020-01-16","2177","2188","2171","2188","1353300","2188"
"2020-01-17","2189","2191","2179","2185","797300","2185"
"2020-01-20","2180","2190","2175","2177","552100","2177"
"2020-01-21","2179","2179","2153","2170","667100","2170"
"2020-01-22","2174","2178","2165","2170","737000","2170"
"2020-01-23","2147","2153","2121","2124","1768300","2124"
"2020-01-24","2112","2123","2063","2070","2242200","2070"
"2020-01-27","2020","2059","2015","2035","1489400","2035"
"2020-01-28","2020","2034","2020","2025","1209900","2025"
"2020-01-29","2035","2043","2013","2023","870900","2023"
"2020-01-30","2026","2038","1996","2005","1589200","2005"
"2020-01-31","1998","2019","1998","2005","933300","2005"
"2020-02-03","1980","1988","1961","1985","1517600","1985"
"2020-02-04","1983","2025","1979","2025","1200400","2025"
"2020-02-05","2051","2058","2036","2045","1264400","2045"
"2020-02-06","2060","2063","2045","2055","1027500","2055"
"2020-02-07","2060","2075","2056","2064","805000","2064"
"2020-02-10","2047","2050","2027","2029","735800","2029"
"2020-02-12","2039","2049","2016","2031","797900","2031"
"2020-02-13","2039","2048","2034","2048","954300","2048"
"2020-02-14","1998","2007","1958","1962","3933600","1962"
"2020-02-17","1903","1936","1888","1912","2881400","1912"
"2020-02-18","1900","1910","1868","1881","2309300","1881"
"2020-02-19","1871","1884","1864","1866","1950800","1866"
"2020-02-20","1887","1895","1851","1853","1528800","1853"
"2020-02-21","1850","1860","1835","1836","1575200","1836"
"2020-02-25","1752","1791","1751","1780","3054200","1780"
"2020-02-26","1753","1765","1730","1759","2815100","1759"
"2020-02-27","1742","1745","1695","1702","2922200","1702"
"2020-02-28","1631","1667","1612","1618","4383900","1618"
"2020-03-02","1586","1718","1583","1691","4948700","1691"
"2020-03-03","1750","1755","1658","1658","3607500","1658"
"2020-03-04","1640","1677","1634","1661","2264600","1661"
"2020-03-05","1679","1686","1657","1662","1626500","1662"
"2020-03-06","1650","1650","1611","1627","2423800","1627"
"2020-03-09","1600","1600","1536","1554","4083800","1554"
"2020-03-10","1500","1640","1472","1620","5719400","1620"
"2020-03-11","1630","1638","1583","1587","3576100","1587"
"2020-03-12","1547","1562","1500","1527","3725600","1527"
"2020-03-13","1457","1558","1420","1514","5660800","1514"
"2020-03-16","1532","1563","1490","1493","4097800","1493"
"2020-03-17","1450","1625","1444","1611","5876100","1611"
"2020-03-18","1640","1828","1631","1778","7306800","1778"
"2020-03-19","1775","1888","1756","1827","6831400","1827"
"2020-03-23","1810","1824","1717","1759","4936000","1759"
"2020-03-24","1760","1761","1675","1689","4260000","1689"
"2020-03-25","1734","1795","1714","1794","3092600","1794"
"2020-03-26","1724","1727","1669","1677","4165500","1677"
"2020-03-27","1725","1734","1655","1696","3540000","1696"
"2020-03-30","1616","1652","1585","1614","3928100","1614"
"2020-03-31","1625","1659","1600","1602","3130400","1602"
"2020-04-01","1583","1588","1528","1529","2965200","1529"
"2020-04-02","1518","1536","1500","1505","2329700","1505"
"2020-04-03","1500","1502","1410","1415","5294600","1415"
"2020-04-06","1390","1424","1350","1405","6689700","1405"
"2020-04-07","1452","1490","1415","1480","5316200","1480"
"2020-04-08","1528","1601","1512","1599","5255800","1599"
"2020-04-09","1600","1600","1522","1548","3898700","1548"
"2020-04-10","1555","1557","1497","1551","2906300","1551"
"2020-04-13","1530","1537","1511","1511","2277800","1511"
"2020-04-14","1511","1535","1505","1531","1963600","1531"
"2020-04-15","1533","1548","1520","1538","1831100","1538"
"2020-04-16","1545","1558","1528","1532","1377400","1532"
"2020-04-17","1550","1577","1542","1559","2154000","1559"
"2020-04-20","1554","1569","1536","1566","2059300","1566"
"2020-04-21","1556","1580","1547","1572","1544100","1572"
"2020-04-22","1551","1568","1533","1540","2044700","1540"
"2020-04-23","1536","1547","1506","1516","2420400","1516"
"2020-04-24","1513","1531","1507","1520","1736500","1520"
"2020-04-27","1522","1571","1520","1569","2554000","1569"
"2020-04-28","1598","1599","1576","1583","1581100","1583"
"2020-04-30","1610","1629","1602","1602","1960200","1602"
"2020-05-01","1600","1613","1591","1605","2246800","1605"
"2020-05-07","1620","1622","1589","1597","1949000","1597"
"2020-05-08","1619","1701","1610","1700","3366700","1700"
"2020-05-11","1745","1808","1737","1778","3671900","1778"
"2020-05-12","1780","1783","1732","1732","1939600","1732"
"2020-05-13","1706","1740","1690","1735","1839300","1735"
"2020-05-14","1714","1735","1693","1693","1648900","1693"
"2020-05-15","1681","1689","1620","1650","3710100","1650"
"2020-05-18","1673","1699","1669","1681","2097400","1681"
"2020-05-19","1720","1737","1695","1713","1909900","1713"
"2020-05-20","1696","1705","1679","1702","2044600","1702"
"2020-05-21","1712","1719","1698","1709","1551600","1709"
"2020-05-22","1652","1704","1645","1660","5462900","1660"
"2020-05-25","1689","1717","1680","1717","2493500","1717"
"2020-05-26","1750","1776","1740","1769","3048900","1769"
"2020-05-27","1780","1783","1731","1763","2305800","1763"
"2020-05-28","1793","1824","1780","1791","3145100","1791"
"2020-05-29","1760","1786","1747","1747","2471400","1747"
"2020-06-01","1755","1776","1747","1762","1606200","1762"
"2020-06-02","1770","1773","1748","1756","1822100","1756"
"2020-06-03","1770","1777","1752","1762","1585100","1762"
"2020-06-04","1773","1783","1761","1768","1578700","1768"
"2020-06-05","1770","1790","1765","1789","1471900","1789"
"2020-06-08","1808","1838","1799","1826","2582700","1826"
"2020-06-09","1836","1839","1816","1822","1552100","1822"
"2020-06-10","1808","1815","1801","1808","1048100","1808"
"2020-06-11","1801","1807","1769","1771","1783000","1771"
"2020-06-12","1701","1769","1700","1762","2394200","1762"
"2020-06-15","1770","1799","1754","1754","1575400","1754"
"2020-06-16","1784","1801","1774","1799","1581600","1799"
"2020-06-17","1792","1806","1780","1795","1234600","1795"
"2020-06-18","1798","1815","1793","1804","1169100","1804"
