7974 東証1部 任天堂(株)（その他製品）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","43010","43090","42510","42740","1154600","42740"
"2020-01-07","43040","43500","42890","42940","1167600","42940"
"2020-01-08","42500","42840","41610","42640","1484400","42640"
"2020-01-09","43550","43600","43160","43380","1030800","43380"
"2020-01-10","43220","43780","43140","43440","826300","43440"
"2020-01-14","43850","43940","42940","43200","1203500","43200"
"2020-01-15","43000","43300","42880","43070","755900","43070"
"2020-01-16","42940","43040","42700","42960","698700","42960"
"2020-01-17","43170","43230","42900","42990","763600","42990"
"2020-01-20","43090","43290","42980","42990","817500","42990"
"2020-01-21","43000","43250","42960","43110","562800","43110"
"2020-01-22","43210","43350","43060","43320","702200","43320"
"2020-01-23","43320","43560","43170","43530","863700","43530"
"2020-01-24","43700","43880","43510","43700","840600","43700"
"2020-01-27","43080","43110","42310","42400","972100","42400"
"2020-01-28","42080","42660","41970","42600","975800","42600"
"2020-01-29","42590","42870","42400","42720","815200","42720"
"2020-01-30","42800","42800","41920","42270","1150300","42270"
"2020-01-31","41120","41250","40170","40770","2577800","40770"
"2020-02-03","38670","40130","38000","40040","2607200","40040"
"2020-02-04","40000","40210","39640","40100","1296700","40100"
"2020-02-05","40740","40920","40210","40430","926500","40430"
"2020-02-06","40790","41100","40470","40900","1330700","40900"
"2020-02-07","40720","40890","40410","40500","1186900","40500"
"2020-02-10","40300","40840","40290","40650","899900","40650"
"2020-02-12","40600","40720","40400","40560","761000","40560"
"2020-02-13","40400","40470","40040","40190","878600","40190"
"2020-02-14","39980","40030","39500","39840","934000","39840"
"2020-02-17","39840","40150","39670","40000","928200","40000"
"2020-02-18","39900","39970","39710","39790","694200","39790"
"2020-02-19","39920","40210","39830","40050","918700","40050"
"2020-02-20","40500","40540","40020","40100","738300","40100"
"2020-02-21","40000","40050","39860","39950","915500","39950"
"2020-02-25","38100","39490","38100","39230","1301200","39230"
"2020-02-26","39230","39230","38450","38960","1119500","38960"
"2020-02-27","38580","38840","38000","38190","1111300","38190"
"2020-02-28","36800","37250","36080","36270","2299600","36270"
"2020-03-02","36100","37890","35900","37090","2147900","37090"
"2020-03-03","37850","37990","36680","36800","1860600","36800"
"2020-03-04","36430","37600","36430","37250","1088000","37250"
"2020-03-05","37900","38170","37410","37920","1232400","37920"
"2020-03-06","37700","38090","37070","37410","1273600","37410"
"2020-03-09","36480","36740","35630","35930","2032600","35930"
"2020-03-10","35000","36520","33980","36190","2255000","36190"
"2020-03-11","36060","36860","35410","35470","1506400","35470"
"2020-03-12","35000","35360","33950","34820","2118300","34820"
"2020-03-13","33080","34500","31880","33220","3190900","33220"
"2020-03-16","33900","34860","32930","32950","2157800","32950"
"2020-03-17","32500","35360","32200","34880","3190700","34880"
"2020-03-18","35360","36320","35250","35510","1854200","35510"
"2020-03-19","35510","37500","35510","37230","2465200","37230"
"2020-03-23","37400","38430","37110","37810","1910900","37810"
"2020-03-24","38810","38890","38160","38610","1513700","38610"
"2020-03-25","39500","39640","38970","39640","1510900","39640"
"2020-03-26","39230","39980","38850","39730","1408000","39730"
"2020-03-27","40000","40400","39430","40400","1620000","40400"
"2020-03-30","39470","40990","39160","40930","1480200","40930"
"2020-03-31","41560","42490","41150","41610","1926000","41610"
"2020-04-01","41800","42690","41510","41950","1917600","41950"
"2020-04-02","42510","42670","41110","41330","1675600","41330"
"2020-04-03","41870","42280","41570","41880","1244500","41880"
"2020-04-06","42350","43200","42190","42920","1537100","42920"
"2020-04-07","43250","43500","42370","43190","1728500","43190"
"2020-04-08","43000","43640","42700","43590","1690300","43590"
"2020-04-09","43450","43730","43050","43730","1237600","43730"
"2020-04-10","43370","44500","43280","44370","1291200","44370"
"2020-04-13","44500","44750","44100","44310","819000","44310"
"2020-04-14","44590","45500","44360","45480","1417700","45480"
"2020-04-15","45990","46930","45900","46730","1754400","46730"
"2020-04-16","46450","47170","46370","47000","1385600","47000"
"2020-04-17","47000","47100","46070","46830","1711600","46830"
"2020-04-20","46660","46810","45800","45930","1163800","45930"
"2020-04-21","45310","46380","45260","46030","1229700","46030"
"2020-04-22","47000","47090","46210","46980","1597000","46980"
"2020-04-23","47200","47270","46440","46660","1024400","46660"
"2020-04-24","46410","46990","46390","46900","832700","46900"
"2020-04-27","46790","47150","46710","46840","802000","46840"
"2020-04-28","46250","46580","45940","46220","924500","46220"
"2020-04-30","45730","45790","44520","44650","1775900","44650"
"2020-05-01","44800","45250","44530","44650","1033100","44650"
