8267 東証1部 イオン(株)（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","2230","2240.5","2220","2224.5","2110800","2224.5"
"2020-01-07","2230","2266.5","2226","2263.5","1597800","2263.5"
"2020-01-08","2231","2244.5","2212","2238","2128200","2238"
"2020-01-09","2261.5","2273","2251","2261","1796500","2261"
"2020-01-10","2273","2287.5","2266","2280","1716900","2280"
"2020-01-14","2262.5","2343.5","2260","2339","3417700","2339"
"2020-01-15","2343.5","2383","2337.5","2383","2901000","2383"
"2020-01-16","2383","2399","2362.5","2380.5","2047500","2380.5"
"2020-01-17","2384","2388.5","2341.5","2343.5","2181900","2343.5"
"2020-01-20","2343.5","2358.5","2336","2341","1099700","2341"
"2020-01-21","2340.5","2340.5","2310","2313.5","1500600","2313.5"
"2020-01-22","2310","2342.5","2301.5","2333","1594400","2333"
"2020-01-23","2325","2327","2304","2310.5","1803500","2310.5"
"2020-01-24","2314.5","2316","2277","2281","1606800","2281"
"2020-01-27","2224.5","2264.5","2220","2252","1909600","2252"
"2020-01-28","2233.5","2249","2227","2245.5","1802300","2245.5"
"2020-01-29","2249.5","2262","2240.5","2248","1433200","2248"
"2020-01-30","2242","2253","2210","2214.5","1938100","2214.5"
"2020-01-31","2235","2268","2231","2253.5","1873000","2253.5"
"2020-02-03","2210","2249.5","2205","2239","1885100","2239"
"2020-02-04","2228.5","2252","2224","2249.5","1460100","2249.5"
"2020-02-05","2275","2306","2275","2300","1895700","2300"
"2020-02-06","2333","2379.5","2331.5","2352.5","3016500","2352.5"
"2020-02-07","2350","2358","2327.5","2344.5","1515200","2344.5"
"2020-02-10","2330","2345","2323.5","2336","1234000","2336"
"2020-02-12","2328.5","2329.5","2296","2303.5","2262500","2303.5"
"2020-02-13","2314.5","2316","2297.5","2311","1344400","2311"
"2020-02-14","2305","2313.5","2295","2313.5","1364600","2313.5"
"2020-02-17","2300","2325","2292","2321","1539000","2321"
"2020-02-18","2320","2328","2307.5","2310","1318200","2310"
"2020-02-19","2320","2332","2313","2328.5","1413000","2328.5"
"2020-02-20","2339","2351.5","2298","2300","2434600","2300"
"2020-02-21","2303","2313","2281","2296.5","2349700","2296.5"
"2020-02-25","2227","2254","2217.5","2227","5449400","2227"
"2020-02-26","2217.5","2218","2161.5","2171","6579800","2171"
"2020-02-27","2120.5","2123.5","2061.5","2075.5","5469200","2075.5"
"2020-02-28","1980.5","2038","1980.5","2014.5","6067900","2014.5"
"2020-03-02","1991","2093","1985","2073","3801400","2073"
"2020-03-03","2116.5","2123","2040.5","2040.5","2998000","2040.5"
"2020-03-04","1990.5","2019","1966","1968","5091300","1968"
"2020-03-05","2008","2011.5","1979.5","2007","3232100","2007"
"2020-03-06","1988","2003","1967.5","1983","3424900","1983"
"2020-03-09","1938","1945.5","1871","1908.5","5036700","1908.5"
"2020-03-10","1868","1970.5","1826","1956.5","4825200","1956.5"
"2020-03-11","1960","2003","1957.5","1974","3467200","1974"
"2020-03-12","1916.5","1944","1885.5","1930.5","5300900","1930.5"
"2020-03-13","1850","1948","1808.5","1883","8147600","1883"
"2020-03-16","1890","1947","1882","1884.5","4621100","1884.5"
"2020-03-17","1858","2084.5","1845.5","2064","7892300","2064"
"2020-03-18","2104.5","2239","2098","2167","7265400","2167"
"2020-03-19","2250.5","2313.5","2221","2299.5","8702800","2299.5"
"2020-03-23","2304","2382","2103","2133.5","9789000","2133.5"
"2020-03-24","2219.5","2239","2177","2213","4535100","2213"
"2020-03-25","2263","2324","2250","2324","4987000","2324"
"2020-03-26","2280","2331","2210","2331","5558600","2331"
"2020-03-27","2369","2406","2305.5","2406","6463400","2406"
"2020-03-30","2356","2450","2353","2450","4671700","2450"
"2020-03-31","2449","2485.5","2383.5","2399","4823600","2399"
"2020-04-01","2350","2360","2228.5","2242.5","4446800","2242.5"
"2020-04-02","2233","2253.5","2158","2161.5","4244700","2161.5"
"2020-04-03","2150","2197","2030.5","2044.5","4836100","2044.5"
"2020-04-06","2044","2234.5","2035","2221.5","5533100","2221.5"
"2020-04-07","2249.5","2284.5","2105.5","2150.5","5411800","2150.5"
"2020-04-08","2176.5","2215","2135","2204.5","4074900","2204.5"
"2020-04-09","2190","2192","2111","2161.5","3479100","2161.5"
"2020-04-10","2143","2145","2078","2113.5","3713900","2113.5"
"2020-04-13","2098.5","2197.5","2095","2176","4124800","2176"
"2020-04-14","2173","2186","2144.5","2175.5","2674700","2175.5"
"2020-04-15","2176","2233.5","2169.5","2232.5","3751100","2232.5"
"2020-04-16","2200","2205","2172","2197.5","2925200","2197.5"
"2020-04-17","2220","2229.5","2177","2207","2747700","2207"
"2020-04-20","2168","2201","2153","2178.5","1991800","2178.5"
"2020-04-21","2163","2184","2146","2176.5","2286100","2176.5"
"2020-04-22","2152.5","2166.5","2128","2151.5","2288400","2151.5"
"2020-04-23","2159","2171.5","2146","2171.5","1696000","2171.5"
"2020-04-24","2171","2171.5","2126","2140.5","2781300","2140.5"
"2020-04-27","2150.5","2159.5","2132.5","2159.5","1875900","2159.5"
"2020-04-28","2151","2159","2128","2149","2169300","2149"
"2020-04-30","2165","2190","2160","2171.5","3283400","2171.5"
"2020-05-01","2147.5","2153.5","2107.5","2114.5","2574000","2114.5"
"2020-05-07","2106","2121.5","2090.5","2118.5","2222800","2118.5"
"2020-05-08","2155.5","2175","2140","2175","2193500","2175"
"2020-05-11","2176","2230","2175","2213","1811900","2213"
"2020-05-12","2222.5","2272.5","2216","2250.5","2187700","2250.5"
"2020-05-13","2232","2262","2218","2258","1812100","2258"
"2020-05-14","2249","2260.5","2200.5","2200.5","1454200","2200.5"
"2020-05-15","2220","2230","2202.5","2210.5","1382400","2210.5"
"2020-05-18","2216","2243","2205.5","2242","1301900","2242"
"2020-05-21","2315","2336.5","2304.5","2304.5","1648500","2304.5"
"2020-05-22","2307","2313.5","2275.5","2283.5","1190900","2283.5"
"2020-05-25","2318","2318","2268.5","2300","1498700","2300"
"2020-05-26","2320","2340","2301.5","2340","1562200","2340"
"2020-05-27","2330","2330","2301.5","2320.5","2075600","2320.5"
"2020-05-28","2341.5","2402.5","2336","2390.5","2785500","2390.5"
"2020-05-29","2380.5","2407.5","2371.5","2383.5","3138100","2383.5"
"2020-06-01","2369","2382.5","2358.5","2377","1250600","2377"
"2020-06-02","2392.5","2410","2381.5","2401.5","1669100","2401.5"
"2020-06-03","2430","2445","2408.5","2425","1639100","2425"
"2020-06-04","2448.5","2453","2411","2442.5","1644200","2442.5"
"2020-06-05","2441.5","2442.5","2393","2415.5","1882800","2415.5"
"2020-06-08","2447","2447","2420","2447","1943600","2447"
"2020-06-09","2447","2455.5","2431.5","2448","1475900","2448"
"2020-06-10","2427","2441","2404","2419.5","1878600","2419.5"
"2020-06-11","2390","2421","2376","2402","1928800","2402"
"2020-06-12","2366","2403","2347","2399","2455500","2399"
"2020-06-15","2390","2442","2376","2376","1810200","2376"
"2020-06-16","2417","2459.5","2398","2456.5","2772100","2456.5"
"2020-06-17","2460","2467.5","2428.5","2444.5","1513600","2444.5"
"2020-06-18","2430","2444.5","2413.5","2439","1155500","2439"
